unix_timestamp,yaw,pitch,roll
1783485162.0796576,-17.79,-0.47,1.16
1783485162.2994294,-17.92,-0.52,1.21
1783485162.5001018,-17.73,-0.56,1.17
1783485162.7000542,-17.85,-0.6,1.18
1783485162.9202898,-17.85,-0.64,1.18
1783485163.1197338,-17.77,-0.59,1.14
1783485163.3192415,-17.76,-0.62,1.12
1783485163.5389407,-17.84,-0.69,1.11
1783485163.739957,-17.75,-0.77,1.13
1783485163.9409306,-17.86,-0.77,1.15
1783485164.1417165,-17.78,-0.7,1.19
1783485164.3618717,-17.77,-0.65,1.16
1783485164.5626147,-17.79,-0.65,1.13
1783485164.7644682,-17.94,-0.61,1.17
1783485164.9612768,-17.97,-0.65,1.16
1783485165.163082,-17.78,-0.69,1.16
1783485165.3827937,-17.84,-0.7,1.17
1783485165.5810628,-17.88,-0.76,1.15
1783485165.7808964,-17.86,-0.8,1.15
1783485165.9822156,-17.91,-0.87,1.16
1783485166.1815767,-17.89,-0.89,1.15
1783485166.3845265,-17.88,-0.9,1.09
1783485166.6016233,-17.77,-0.91,1.09
1783485166.7998443,-17.87,-0.89,1.16
1783485167.0010924,-17.89,-0.9,1.17
1783485167.202026,-17.88,-0.92,1.19
1783485167.402448,-17.88,-0.91,1.16
1783485167.6227503,-17.83,-0.89,1.18
1783485167.8216157,-17.83,-0.93,1.16
1783485168.0227652,-17.9,-0.92,1.18
1783485168.2208161,-17.88,-0.9,1.15
1783485168.4220314,-17.87,-0.92,1.15
1783485168.623683,-17.86,-0.93,1.16
