unix_timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1784518671.2511098,-0.0101,0.01131,-0.9986,0.00255,0.00468,0.00471
1784518671.257284,-0.00673,0.00965,-0.99648,0.00525,0.0015,0.00625
1784518671.4522507,-0.00882,0.01074,-0.9984,0.00481,0.00317,0.00408
1784518671.660469,0.23684,0.02805,-0.99902,-0.00623,0.0136,-0.05225
1784518671.6674066,0.16262,0.02109,-0.95839,-0.03862,0.02158,0.01534
1784518671.8700626,0.16771,0.00027,-1.02268,-0.03309,-0.03309,0.04473
1784518671.9378266,0.06452,0.0104,-1.03232,0.05021,0.01672,-0.01397
1784518672.0765862,-0.11106,0.03811,-1.00432,-0.01876,-0.12132,0.01767
1784518672.2790182,-0.2674,-0.00832,-0.93436,0.02673,0.07395,0.01537
1784518672.4870374,-0.21695,0.0234,-1.01595,0.01358,-0.02194,-0.05236
1784518672.4870374,-0.06578,0.01699,-0.98427,-0.00027,0.04954,0.03669
1784518672.6843336,0.03801,0.02599,-0.97867,0.01939,0.03014,-0.02336
1784518672.889292,0.08141,0.02271,-1.0201,0.02413,-0.04209,-0.03291
1784518672.889292,-0.02691,0.01779,-0.98853,0.00284,-0.01147,-0.01796
1784518672.9213715,-0.03396,0.0184,-1.00286,0.00643,0.00407,-0.00401
1784518673.0975413,-0.02989,0.02257,-0.99988,0.01056,-0.00147,-0.00609
1784518673.3055959,-0.03834,0.01237,-0.99534,0.0041,-0.00311,0.0196
1784518673.3055959,-0.0184,0.01071,-0.99778,0.00542,0.00518,0.00816
1784518673.4950566,-0.02072,0.01188,-0.99832,0.00318,0.00411,0.00221
1784518673.7004077,-0.01963,0.01113,-0.99609,0.00488,0.0047,0.00454
1784518673.7125742,-0.01842,0.01013,-0.99929,0.00543,0.00526,0.00291
1784518673.907982,-0.01165,0.01152,-0.99677,0.00553,0.0049,0.00652
1784518673.907982,-0.0019,0.03085,-0.99227,0.01978,0.00733,0.46247
1784518674.1233864,-0.01381,0.01056,-0.99608,0.01946,-0.00532,0.43906
1784518674.1233864,0.00457,0.00713,-0.99643,-0.00126,0.00234,0.46492
1784518674.3272896,-0.03188,0.01998,-0.98723,0.03392,0.01336,0.50894
1784518674.5286615,0.00929,0.03151,-0.99833,0.00473,0.00045,0.49429
1784518674.5346835,0.00072,0.05018,-1.01189,0.00644,-0.01875,0.46581
1784518674.736939,-0.00397,-0.0107,-0.99591,-0.00119,-0.00105,0.60153
1784518674.736939,-0.03056,0.02181,-0.99467,0.00863,0.00199,0.51014
1784518674.938379,0.00166,-0.01639,-0.9968,0.00021,-0.00796,0.53738
1784518675.1375587,-0.00748,0.03207,-0.99856,0.01237,-0.0056,0.49366
1784518675.1375587,-0.00219,0.02734,-1.00171,-0.00287,-0.00347,0.53671
1784518675.3511953,-0.00943,0.03708,-0.99115,0.00517,0.00486,0.49812
1784518675.3522336,-0.00017,-0.00516,-1.00314,0.00959,-0.01244,0.5364
1784518675.5522408,-0.01868,0.01224,-0.99849,0.01215,-0.00189,0.52816
1784518675.5522408,-0.01251,0.00697,-1.0095,0.01044,-0.00091,0.50518
1784518675.5681708,-0.01219,-0.00831,-0.98931,0.00249,0.00252,0.57417
1784518675.7585232,-0.01076,-0.00546,-0.99443,0.0204,0.00447,0.5357
1784518675.9306147,0.00461,-0.00099,-0.99522,0.0074,-0.00154,0.48546
1784518675.9426835,-0.01372,0.00805,-1.00136,0.01866,-0.00679,0.5384
1784518676.1676989,0.00193,0.01811,-0.99812,-0.00036,0.00269,0.55864
1784518676.374992,-0.01139,0.02532,-0.99077,0.03342,0.00784,0.49129
1784518676.374992,0.02653,0.0115,-0.99765,0.00288,-0.00208,0.50288
1784518676.565955,-0.00408,-0.00141,-1.00103,-0.00134,-0.00228,0.53148
1784518676.582288,-0.02922,0.03583,-1.0104,0.0019,-0.02424,0.49463
1784518676.7818542,0.00102,0.02854,-1.00017,0.00219,0.00199,0.51751
1784518676.7818542,-0.01425,0.00907,-0.99679,0.02318,0.00669,0.54108
1784518676.937678,0.07693,-0.09267,-0.98525,0.03418,0.01488,0.0594
1784518677.1943383,0.12539,-0.02148,-1.02747,-0.09958,-0.02165,0.06714
1784518677.3959384,0.14251,0.00219,-0.94541,0.01713,-0.00229,0.01243
1784518677.604657,0.02273,0.00247,-1.0224,0.01837,0.07052,0.00198
1784518677.604657,0.05495,0.01631,-1.01854,-5e-05,-0.06517,-0.0105
1784518677.805045,-0.29673,-0.01492,-1.00919,0.02299,-0.00771,0.04868
1784518677.805045,0.02338,0.03305,-0.97449,0.04236,0.02116,0.00259
1784518677.9469798,-0.16485,0.02672,-0.97303,0.00932,-0.02296,-0.02247
1784518677.9512424,-0.12561,-0.02516,-1.00406,-0.00813,0.01439,0.04996
1784518678.218414,0.02692,0.00426,-1.01983,-0.00068,-0.00893,0.00968
1784518678.4226508,-0.0272,0.00699,-0.98877,-0.00354,0.00265,0.01517
1784518678.6132088,-0.02693,0.00378,-0.99688,0.00549,0.0106,0.012
1784518678.8194296,-0.02176,-0.00039,-0.99553,-0.00086,0.01501,0.02069
1784518678.8194296,-0.04723,0.00391,-0.98916,0.00322,0.01027,0.02412
1784518678.9399438,-0.03699,0.00992,-0.9947,0.0128,0.02172,-0.01415
1784518679.2420788,-0.02913,0.00788,-0.99288,0.00373,0.002,0.00725
1784518679.2420788,-0.01302,0.01009,-0.99539,0.00283,0.00536,0.00435
1784518679.433544,-0.0277,0.00329,-0.99804,0.00873,0.00913,0.02071
1784518679.433544,-0.04982,0.00841,-0.99912,0.0033,0.00835,0.01282
1784518679.6477942,-0.035,0.00649,-0.99631,0.00697,0.00464,0.00464
1784518679.6477942,-0.01546,0.12552,-0.99545,0.01308,0.00569,0.39127
1784518679.8562272,0.00399,-0.04228,-0.99541,-8e-05,0.0165,0.51536
1784518679.858988,-0.01049,-0.02652,-0.98438,0.03407,0.02105,0.44324
1784518679.9526222,-0.01809,0.02566,-0.99955,0.01283,0.00093,0.50062
1784518680.0624714,-0.02477,0.04147,-0.99955,0.00956,0.00154,0.52156
1784518680.2641587,-0.02076,0.00594,-1.00213,0.00781,-0.0174,0.49209
1784518680.4720345,0.00679,-0.02664,-1.01256,-0.00183,-0.00524,0.45334
1784518680.673351,-0.03361,0.06223,-0.99559,0.00094,-0.06781,0.58663
1784518680.673351,-0.01297,-0.06494,-0.99267,0.02111,-0.00843,0.58879
1784518680.6945553,0.02587,0.0228,-0.99659,0.01033,-0.00689,0.43006
1784518680.868961,-0.02003,0.02585,-0.98293,0.03948,0.01728,0.47621
