unix_timestamp,yaw,pitch,roll
1787546998.1206012,-95.01,-2.17,0.42
1787546998.1414514,-95.01,-2.17,0.42
1787546998.330245,-94.97,-2.05,0.46
1787546998.5294862,-94.99,-2.17,0.47
1787546998.8280516,-95.07,-2.37,0.33
1787546998.9392357,-95.07,-2.44,0.41
1787546999.1620483,-95.06,-2.05,0.37
1787546999.3635218,-95.06,-1.77,0.41
1787546999.554512,-94.88,-1.7,0.44
1787546999.861274,-95.0,-1.77,0.43
1787547000.070047,-94.96,-1.77,0.44
1787547000.1829114,-94.96,-1.76,0.44
1787547000.377634,-94.96,-1.77,0.44
1787547000.5825171,-94.95,-1.76,0.44
1787547000.8321426,-92.09,-1.82,0.44
1787547000.9940898,-86.96,-1.91,0.32
1787547001.2034583,-81.33,-1.93,0.19
1787547001.4041991,-75.46,-2.0,-0.03
1787547001.619397,-69.52,-2.01,-0.2
1787547001.8074677,-63.67,-1.99,-0.39
1787547002.013607,-56.23,-1.97,-0.61
1787547002.2206635,-50.37,-1.95,-0.79
1787547002.4306588,-44.51,-1.89,-0.94
1787547002.6370847,-38.55,-1.84,-1.14
1787547002.8289356,-32.64,-1.74,-1.24
1787547003.0390718,-26.67,-1.66,-1.42
1787547003.2349038,-20.79,-1.59,-1.53
1787547003.4460528,-14.98,-1.45,-1.65
1787547003.6604824,-8.96,-1.31,-1.75
1787547003.8559995,-5.47,-1.25,-1.83
1787547004.0542855,-5.35,-1.22,-1.75
1787547004.2793825,-5.57,-1.07,-1.86
1787547004.4802647,-5.54,-0.94,-1.83
1787547004.6816525,-5.5,-1.02,-2.04
1787547004.9039054,-5.47,-1.12,-2.04
1787547005.0912676,-5.53,-1.13,-1.92
1787547005.2854536,-5.41,-1.13,-1.95
1787547005.4993155,-5.4,-1.11,-1.97
1787547005.6955707,-5.4,-1.12,-1.97
1787547005.9161847,-5.39,-1.12,-1.97
1787547006.1265,-5.4,-1.11,-1.97
1787547006.324816,-4.75,-1.08,-1.94
1787547006.6226912,0.29,-0.96,-1.94
1787547006.7387617,5.97,-0.83,-2.02
1787547006.9394407,11.74,-0.68,-2.05
1787547007.140454,19.03,-0.45,-2.09
1787547007.341546,24.93,-0.3,-2.13
1787547007.5490167,30.82,-0.12,-2.16
1787547007.7595232,36.75,0.06,-2.11
1787547007.9599578,42.68,0.21,-2.11
1787547008.1478822,48.52,0.41,-2.04
1787547008.3562977,54.42,0.56,-1.96
1787547008.5608537,60.19,0.65,-1.89
1787547008.7797194,66.16,0.8,-1.79
1787547008.9753497,72.11,0.94,-1.67
1787547009.1847363,78.07,1.05,-1.52
1787547009.4116979,83.54,1.1,-1.37
1787547009.59725,83.37,1.19,-1.22
1787547009.774075,83.13,1.5,-1.39
1787547009.9733138,83.17,1.62,-1.53
1787547010.2020237,83.11,1.43,-1.53
1787547010.417164,83.31,1.33,-1.58
1787547010.6178465,83.3,1.31,-1.54
1787547010.799077,83.65,1.34,-1.5
1787547011.0098674,83.64,1.33,-1.46
1787547011.2365062,83.66,1.33,-1.46
1787547011.4299433,83.63,1.32,-1.46
1787547011.6401033,83.62,1.31,-1.46
1787547011.8016279,83.62,1.31,-1.46
1787547012.0444038,87.53,1.39,-1.34
1787547012.23839,92.95,1.44,-1.16
1787547012.458582,98.61,1.5,-0.95
1787547012.659657,104.49,1.55,-0.74
1787547012.8676853,110.46,1.58,-0.58
1787547013.0693555,116.41,1.63,-0.41
1787547013.2824776,122.34,1.59,-0.2
1787547013.4812524,128.17,1.57,-0.07
1787547013.68416,134.14,1.57,0.15
1787547013.8135352,140.04,1.51,0.31
1787547014.0906777,146.05,1.4,0.46
1787547014.218169,151.95,1.3,0.63
1787547014.4933145,157.76,1.16,0.86
1787547014.638421,163.81,1.05,0.96
1787547014.848448,169.67,0.91,1.12
1787547015.0417414,172.92,0.93,1.27
1787547015.3204498,172.89,0.72,1.34
1787547015.5271087,172.8,0.5,1.14
1787547015.6603925,172.81,0.56,1.27
1787547015.8881505,172.79,0.89,1.26
1787547016.1445055,172.99,0.8,1.24
1787547016.281868,172.87,0.76,1.27
1787547016.4703538,173.03,0.83,1.28
1787547016.6815848,172.97,0.82,1.27
1787547016.882877,172.99,0.82,1.29
1787547017.0826921,172.99,0.82,1.29
1787547017.304605,172.99,0.83,1.3
1787547017.5143895,173.29,0.83,1.32
1787547017.7834163,178.38,0.65,1.42
1787547017.968395,-176.01,0.45,1.55
1787547018.193018,-170.35,0.26,1.65
1787547018.3122034,-164.47,-0.0,1.7
1787547018.514053,-157.0,-0.27,1.7
1787547018.713927,-151.21,-0.5,1.74
1787547018.9274294,-145.35,-0.72,1.61
1787547019.2174587,-139.3,-0.88,1.57
1787547019.4220548,-133.55,-1.09,1.5
1787547019.5417087,-127.47,-1.32,1.38
1787547019.7419224,-121.69,-1.48,1.2
1787547019.958192,-115.66,-1.67,1.07
1787547020.1598837,-109.82,-1.83,0.9
1787547020.3658617,-103.9,-1.97,0.79
1787547020.5809968,-98.17,-2.08,0.56
1787547020.7689154,-97.59,-2.09,0.54
1787547020.9734795,-97.62,-2.1,0.56
