unix_timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1787546997.9105754,-0.01415,0.00723,-0.99621,0.00396,0.00094,0.00755
1787546998.1206012,-0.01687,0.00851,-0.99517,0.00465,0.00204,0.00567
1787546998.1206012,-0.01403,0.00881,-0.99752,0.00342,0.00226,0.00669
1787546998.2494216,-0.0155,0.01018,-0.99425,0.00189,0.00161,0.00426
1787546998.314387,0.22403,-0.0018,-1.02061,0.00353,0.01424,0.01431
1787546998.449023,0.1824,0.02123,-0.99785,-0.02864,0.01807,-0.00933
1787546998.5294862,0.10659,0.01152,-1.00194,-0.01329,0.03065,-0.0146
1787546998.6545508,0.19323,0.01696,-1.01897,-0.01868,0.04928,0.00172
1787546998.7170293,-0.11957,0.02189,-0.968,-0.05144,-0.02951,0.02906
1787546998.8352318,0.02873,0.01837,-1.00883,0.01583,0.00105,-0.00471
1787546998.9392357,0.03404,0.02474,-0.98826,0.00476,-0.05302,0.01276
1787546999.0503306,-0.30562,0.03116,-0.98328,-0.00936,0.08983,-0.03833
1787546999.1419876,0.05917,0.02954,-0.99052,0.00378,0.05075,0.00948
1787546999.260147,-0.22718,0.00206,-0.99266,0.04756,0.02657,-0.00135
1787546999.2810519,-0.06548,0.02056,-0.96908,-0.06813,0.03767,0.01994
1787546999.4039938,0.05775,-0.0156,-0.99248,-0.01827,-0.02823,-0.00218
1787546999.554512,-0.26222,-0.02205,-0.99553,-0.01763,0.0322,0.09041
1787546999.6840408,0.01049,0.01771,-1.03278,-0.02341,-0.02157,-0.06299
1787546999.7157557,-0.02105,-0.00522,-0.99383,0.00748,-0.00142,0.01312
1787546999.861274,-0.01794,0.01495,-0.996,0.00551,0.00051,0.01937
1787546999.9574323,-0.04372,0.00467,-1.00075,0.00023,0.00217,0.01107
1787547000.070047,-0.02303,0.00756,-0.9937,0.00166,0.00286,0.00527
1787547000.1670039,-0.0179,0.00823,-0.99652,0.0029,0.00412,0.00437
1787547000.2798033,-0.01874,0.00956,-0.99658,0.00246,0.00206,0.00476
1787547000.2798033,-0.02013,0.00692,-0.99498,0.0012,0.00496,0.0085
1787547000.4100437,-0.01293,0.00912,-0.99399,0.0031,0.00541,0.00521
1787547000.576427,-0.00588,0.00803,-0.99501,0.00262,0.00053,0.00758
1787547000.7191744,-0.00502,0.00859,-0.99526,0.00325,0.00157,0.00581
1787547000.7352433,-0.07625,-0.17207,-1.00474,-0.00589,-0.00945,0.469
1787547000.8321426,-0.00503,0.02876,-1.01026,-0.00694,-0.02251,0.37546
1787547000.9781523,0.00278,0.00673,-1.00566,0.01584,-0.01011,0.51415
1787547001.1135535,-0.00124,0.01741,-0.99203,0.01126,0.01319,0.49565
1787547001.119031,-0.0094,0.02113,-1.00001,0.01001,-0.00658,0.50046
1787547001.3095286,3e-05,0.01498,-1.00293,-0.0119,-0.01528,0.52779
1787547001.3139875,-0.01049,-0.00889,-0.99191,0.00956,-0.00291,0.47957
1787547001.4329123,0.00806,0.01649,-0.99476,0.00771,-0.00694,0.46506
