unix_timestamp,ir1_raw,ir1_cm,ir2_raw,ir2_cm
1787802043.974433,236,15.34,192,18.96
1787802044.099078,237,15.28,194,18.76
1787802044.2507532,234,15.48,194,18.76
1787802044.5842075,235,15.41,194,18.76
1787802044.7919931,238,15.21,194,18.76
1787802044.9331748,238,15.21,191,19.06
1787802045.1873302,235,15.41,193,18.85
1787802045.3301904,244,14.83,194,18.76
1787802045.6101308,241,15.02,194,18.76
1787802045.8312821,232,15.61,196,18.56
1787802045.9933887,237,15.28,194,18.76
1787802046.1813514,238,15.21,195,18.66
1787802046.4308882,238,15.21,194,18.76
1787802046.638968,236,15.34,194,18.76
1787802046.8433182,237,15.28,199,18.27
1787802047.043729,245,14.76,194,18.76
1787802047.1896107,234,15.48,198,18.37
1787802047.4632876,233,15.55,194,18.76
1787802047.6066325,242,14.95,199,18.27
1787802048.0665061,243,14.89,203,17.91
1787802048.2117367,235,15.41,198,18.37
1787802048.4729311,237,15.28,193,18.85
1787802048.892622,237,15.28,196,18.56
1787802049.1109993,234,15.48,194,18.76
1787802049.27129,237,15.28,198,18.37
1787802049.532243,237,15.28,195,18.66
1787802049.917402,238,15.21,194,18.76
1787802050.132421,242,14.95,195,18.66
1787802050.3268733,244,14.83,194,18.76
1787802050.5276277,246,14.7,194,18.76
1787802050.7297158,237,15.28,194,18.76
1787802050.9445803,237,15.28,194,18.76
1787802051.1525419,238,15.21,196,18.56
1787802051.5556724,238,15.21,204,17.82
1787802051.7576516,239,15.14,194,18.76
1787802051.895956,242,14.95,200,18.18
1787802052.0548265,239,15.14,197,18.46
1787802052.2530372,237,15.28,195,18.66
1787802052.57656,234,15.48,192,18.96
1787802052.7887814,238,15.21,195,18.66
1787802052.9295805,232,15.61,194,18.76
1787802053.08259,247,14.64,194,18.76
1787802053.2491882,231,15.68,208,17.46
1787802053.3888252,246,14.7,197,18.46
1787802053.5647354,233,15.55,194,18.76
1787802053.728233,236,15.34,200,18.18
1787802053.8701637,256,14.11,205,17.73
1787802054.0138965,220,16.49,211,17.21
1787802054.1519556,206,17.64,224,16.19
1787802054.3254635,204,17.82,233,15.55
1787802054.4998908,200,18.18,235,15.41
1787802054.6516404,215,16.88,220,16.49
1787802054.8118932,224,16.19,207,17.55
1787802054.946497,231,15.68,200,18.18
1787802055.0900755,230,15.75,199,18.27
1787802055.2325637,235,15.41,208,17.46
1787802055.3928874,222,16.34,218,16.64
1787802055.5333564,207,17.55,230,15.75
1787802055.67249,207,17.55,245,14.76
1787802055.8115542,202,18.0,236,15.34
1787802055.9703212,207,17.55,226,16.04
1787802056.1093335,243,14.89,213,17.04
1787802056.2548628,224,16.19,204,17.82
1787802056.4125493,225,16.11,207,17.55
1787802056.553808,219,16.57,218,16.64
1787802056.6914582,210,17.29,235,15.41
1787802056.843104,201,18.09,229,15.82
1787802057.0113478,210,17.29,232,15.61
1787802057.172975,219,16.57,205,17.73
1787802057.3231308,220,16.49,200,18.18
1787802057.483257,228,15.9,201,18.09
1787802057.6749918,206,17.64,219,16.57
1787802057.8143485,204,17.82,234,15.48
1787802057.9621985,196,18.56,229,15.82
1787802058.0994966,201,18.09,218,16.64
1787802058.2553015,215,16.88,208,17.46
1787802058.4278295,219,16.57,192,18.96
1787802058.5862055,220,16.49,201,18.09
1787802058.7361386,211,17.21,206,17.64
1787802058.8912535,207,17.55,218,16.64
1787802059.0349965,194,18.76,223,16.26
1787802059.1707735,195,18.66,223,16.26
1787802059.3000598,205,17.73,216,16.8
1787802059.4757643,213,17.04,199,18.27
1787802059.6041238,221,16.41,194,18.76
1787802059.775157,251,14.4,194,18.76
1787802059.9336946,213,17.04,206,17.64
1787802060.0719151,206,17.64,216,16.8
1787802060.2382667,195,18.66,229,15.82
1787802060.3863916,189,19.26,224,16.19
1787802060.5529857,202,18.0,211,17.21
1787802060.7355917,215,16.88,197,18.46
1787802060.8656836,226,16.04,194,18.76
1787802061.0121717,220,16.49,194,18.76
1787802061.1521697,218,16.64,200,18.18
1787802061.3075488,200,18.18,218,16.64
1787802061.4419403,187,19.47,224,16.19
1787802061.6347687,193,18.85,224,16.19
1787802061.7757528,223,16.26,214,16.96
1787802061.9144754,206,17.64,198,18.37
1787802062.051028,203,17.91,197,18.46
1787802062.2091858,200,18.18,221,16.41
1787802062.3556938,188,19.37,232,15.61
1787802062.5149133,188,19.37,224,16.19
1787802062.6587481,218,16.64,212,17.13
1787802062.8133893,211,17.21,200,18.18
1787802062.958252,199,18.27,206,17.64
1787802063.1064475,191,19.06,212,17.13
1787802063.276847,201,18.09,212,17.13
1787802063.4163933,44,30.0,206,17.64
1787802063.5704832,44,30.0,200,18.18
1787802063.7323265,123,30.0,194,18.76
1787802063.900874,243,14.89,199,18.27
1787802064.0605733,278,12.96,224,16.19
1787802064.2384832,265,13.62,224,16.19
1787802064.3977964,266,13.56,237,15.28
1787802064.526265,283,12.72,247,14.64
1787802064.6995187,284,12.68,264,13.67
1787802064.847366,272,13.26,281,12.82
1787802065.037574,249,14.52,297,12.11
1787802065.1965418,260,13.89,293,12.28
1787802065.3481226,260,13.89,275,13.11
1787802065.5108917,284,12.68,255,14.17
1787802065.6526139,284,12.68,255,14.17
1787802065.8019588,285,12.63,249,14.52
1787802065.9623046,277,13.01,264,13.67
1787802066.0976255,315,11.39,276,13.06
1787802066.304807,290,12.41,271,13.31
1787802066.479721,294,12.23,277,13.01
1787802066.7094638,277,13.01,281,12.82
1787802066.9057379,290,12.41,280,12.87
1787802067.115674,284,12.68,280,12.87
1787802067.3324015,289,12.45,276,13.06
1787802067.5261312,273,13.21,276,13.06
1787802067.7341416,234,15.48,273,13.21
1787802067.9387996,245,14.76,269,13.41
1787802068.078941,251,14.4,264,13.67
1787802068.339053,243,14.89,265,13.62
1787802068.5434315,213,17.04,253,14.28
1787802068.7572463,215,16.88,246,14.7
1787802068.9000182,190,19.16,245,14.76
1787802069.1671557,177,20.6,232,15.61
1787802069.330197,153,23.89,223,16.26
1787802069.566244,149,24.55,223,16.26
1787802069.7843444,140,26.15,212,17.13
1787802069.9779818,136,26.93,209,17.38
1787802070.3786988,119,30.0,196,18.56
1787802070.616558,124,30.0,176,20.72
1787802070.816968,123,30.0,164,22.26
1787802070.9455416,129,28.42,162,22.54
1787802071.215369,143,25.59,146,25.06
1787802071.3771152,135,27.14,98,30.0
1787802071.6299868,148,24.72,52,30.0
1787802071.7993195,147,24.89,50,30.0
1787802072.031049,146,25.06,105,30.0
1787802072.2387624,155,23.58,184,19.8
1787802072.3750532,150,24.38,205,17.73
1787802072.6556468,193,18.85,194,18.76
1787802073.04874,169,21.59,171,21.33
1787802073.2742383,189,19.26,138,26.54
1787802073.4729767,201,18.09,135,27.14
1787802073.8779705,206,17.64,145,25.24
1787802074.0873964,222,16.34,134,27.34
1787802074.2868626,239,15.14,135,27.14
1787802074.487121,260,13.89,134,27.34
1787802074.6966383,272,13.26,136,26.93
1787802074.8310268,268,13.46,141,25.96
1787802074.975449,277,13.01,147,24.89
1787802075.3182452,287,12.54,139,26.34
1787802075.5148563,290,12.41,164,22.26
1787802075.7148893,284,12.68,146,25.06
1787802075.8450303,271,13.31,145,25.24
1787802076.137421,278,12.96,147,24.89
1787802076.3314285,273,13.21,147,24.89
1787802076.5378647,271,13.31,152,24.05
1787802076.7603803,278,12.96,160,22.83
1787802076.942331,276,13.06,158,23.12
1787802077.100235,277,13.01,158,23.12
1787802077.3717182,317,11.32,166,21.99
1787802077.5598629,289,12.45,164,22.26
1787802077.6966815,290,12.41,168,21.72
1787802078.1773324,295,12.19,161,22.69
1787802078.3777778,306,11.74,158,23.12
1787802078.5119243,290,12.41,158,23.12
1787802078.797853,290,12.41,158,23.12
1787802079.40396,284,12.68,161,22.69
1787802079.607933,339,10.55,158,23.12
1787802079.7598433,297,12.11,159,22.98
1787802080.0172074,277,13.01,158,23.12
1787802080.1767042,266,13.56,157,23.27
1787802080.3158798,260,13.89,153,23.89
1787802080.637583,250,14.46,153,23.89
1787802080.8379962,255,14.17,147,24.89
1787802081.0562048,214,16.96,143,25.59
1787802081.1988957,206,17.64,140,26.15
1787802081.4411316,200,18.18,134,27.34
1787802081.8613417,196,18.56,128,28.64
1787802082.063694,171,21.33,123,30.0
1787802082.2197814,200,18.18,117,30.0
1787802082.6837323,149,24.55,108,30.0
1787802082.8757405,142,25.78,105,30.0
1787802083.0943005,140,26.15,97,30.0
1787802083.2294254,128,28.64,93,30.0
1787802083.4839697,129,28.42,93,30.0
1787802083.6977644,150,24.38,98,30.0
1787802083.9130588,128,28.64,111,30.0
1787802084.1169689,117,30.0,138,26.54
1787802084.337102,119,30.0,171,21.33
1787802084.7215066,118,30.0,194,18.76
1787802085.1413267,129,28.42,158,23.12
1787802085.3445287,153,23.89,38,30.0
1787802085.4895859,168,21.72,18,30.0
1787802085.9627144,165,22.13,40,30.0
1787802086.1194997,225,16.11,70,30.0
1787802086.2625856,243,14.89,70,30.0
1787802086.4705267,243,14.89,72,30.0
1787802086.6307676,225,16.11,70,30.0
1787802086.986332,218,16.64,70,30.0
1787802087.3889554,248,14.58,70,30.0
1787802087.5943935,284,12.68,69,30.0
1787802087.810966,319,11.24,69,30.0
1787802088.01904,283,12.72,70,30.0
1787802088.210303,290,12.41,70,30.0
1787802088.415881,318,11.28,70,30.0
1787802088.6398804,295,12.19,70,30.0
1787802088.7996001,283,12.72,71,30.0
1787802089.0367098,283,12.72,69,30.0
1787802089.2358031,284,12.68,69,30.0
1787802089.4430132,277,13.01,70,30.0
1787802089.6475012,277,13.01,70,30.0
1787802089.8503757,289,12.45,74,30.0
1787802090.0565054,277,13.01,70,30.0
1787802090.2604449,278,12.96,85,30.0
1787802090.4674547,268,13.46,70,30.0
1787802090.6713529,206,17.64,74,30.0
1787802090.8457196,206,17.64,70,30.0
1787802091.0834637,224,16.19,69,30.0
1787802091.285364,237,15.28,69,30.0
1787802091.4789007,225,16.11,73,30.0
1787802091.6865304,214,16.96,58,30.0
1787802092.1057158,194,18.76,39,30.0
1787802092.3034477,153,23.89,16,30.0
1787802092.4586082,142,25.78,46,30.0
1787802092.7209337,165,22.13,98,30.0
1787802092.8728547,129,28.42,190,19.16
1787802093.0328999,133,27.55,201,18.09
1787802093.1936932,148,24.72,198,18.37
1787802093.5259473,118,30.0,171,21.33
1787802093.6701517,117,30.0,135,27.14
1787802093.9609437,128,28.64,105,30.0
1787802094.148483,141,25.96,106,30.0
1787802094.3439538,129,28.42,99,30.0
1787802094.5680609,135,27.14,98,30.0
1787802094.7639322,135,27.14,99,30.0
1787802094.9088252,135,27.14,105,30.0
1787802095.0544987,145,25.24,111,30.0
1787802095.387868,147,24.89,116,30.0
1787802095.5770895,159,22.98,123,30.0
1787802095.7878096,164,22.26,122,30.0
1787802095.9940143,194,18.76,129,28.42
1787802096.2008996,183,19.91,135,27.14
1787802096.4111474,189,19.26,140,26.15
1787802096.604799,194,18.76,139,26.34
1787802096.8144293,202,18.0,152,24.05
1787802097.021521,214,16.96,146,25.06
1787802097.2228022,222,16.34,152,24.05
1787802097.4239082,236,15.34,152,24.05
1787802097.6067448,243,14.89,160,22.83
1787802097.8334317,254,14.23,159,22.98
1787802098.040069,272,13.26,158,23.12
1787802098.2505856,318,11.28,164,22.26
