unix_timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1788405820.1784499,-0.02084,0.005,-0.9982,0.00519,0.00444,0.00721
1788405820.4039037,-0.01837,0.00341,-0.99795,0.00776,0.00568,0.0038
1788405820.598794,-0.01851,0.00373,-0.99634,0.00451,0.00418,0.00287
1788405820.6148756,-0.02001,0.00346,-0.9985,0.00538,0.00421,0.00611
1788405820.7941651,-0.0184,0.00517,-0.99904,0.00703,0.00372,0.00184
1788405820.8012588,-0.01887,0.00474,-0.99695,0.00568,0.00411,0.00391
1788405820.864995,-0.01758,0.00338,-0.99634,0.00672,0.00224,0.00391
1788405821.0131845,-0.01864,0.00374,-0.99638,0.00786,0.00459,0.0034
1788405821.2185042,-0.01922,0.00465,-0.99579,0.007,0.00398,0.005
1788405821.225481,-0.0183,0.00517,-0.99787,0.00545,0.00202,0.00083
1788405821.41997,-0.01884,0.00299,-0.99509,0.00634,0.00617,0.00514
1788405821.4261775,-0.01838,0.00406,-0.99789,0.00732,0.00362,0.00634
1788405821.6199079,-0.01815,0.00454,-0.99706,0.0038,0.00604,0.00316
1788405821.636055,-0.01922,0.0037,-0.99641,0.00494,0.00078,0.00514
1788405821.8060114,-0.01923,0.00483,-0.99551,0.00641,0.00698,0.00334
1788405822.033679,-0.02,0.00343,-0.99893,0.00717,0.00617,0.00636
1788405822.194477,-0.01915,0.00365,-0.9969,0.00278,0.00572,0.0022
1788405822.2032359,-0.01746,0.004,-0.99899,0.00696,0.00318,0.00189
1788405822.4479585,-0.01878,0.00363,-0.99721,0.00547,0.00334,0.00321
1788405822.6485581,-0.02047,0.00393,-0.99767,0.00685,0.00396,0.00301
1788405822.6485581,-0.0166,0.00362,-0.9984,0.00678,0.00257,0.00355
1788405822.712274,-0.02015,0.0041,-0.99822,0.00743,0.00306,0.00322
1788405822.8459113,-0.0191,0.00386,-0.99752,0.00778,0.00543,0.00534
1788405886.5370338,-0.01918,0.00322,-0.99633,0.00606,0.00588,0.00149
1788405886.7540863,-0.01927,0.00331,-0.99894,0.00464,0.00571,0.00272
1788405886.7670422,-0.02005,0.00173,-0.99812,0.00354,0.00408,0.00538
1788405886.9584515,-0.01772,0.0062,-0.99841,0.00633,0.00526,0.00267
1788405887.1552024,-0.0187,0.00307,-0.99742,0.00399,0.00405,0.0043
1788405887.1552024,-0.01927,0.0018,-0.99904,0.00422,0.00276,0.00788
1788405887.3527236,-0.0209,0.00271,-0.99806,0.00796,0.00528,0.00393
1788405887.5726633,-0.01798,0.0032,-0.99935,0.00654,0.0044,0.00181
1788405887.7759109,-0.01959,0.00334,-0.99697,0.00382,0.0053,0.00407
1788405887.777895,-0.01885,0.00392,-0.99926,0.00731,0.0038,0.00162
1788405887.7850833,-0.01909,0.00472,-0.99884,0.0041,0.00555,0.00496
1788405887.9802642,-0.01921,0.00439,-0.9978,0.00571,0.00675,0.00355
1788405887.9802642,-0.01993,0.00357,-0.99919,0.00652,0.00358,0.00308
1788405888.1886716,-0.01951,0.00311,-0.99816,0.00376,0.00285,0.0054
1788405888.1886716,-0.01912,0.00347,-0.99929,0.00633,0.00694,0.00314
1788405888.3749137,-0.0192,0.00426,-0.99783,0.00354,0.00262,0.00372
1788405888.5965388,-0.01943,0.00433,-0.99881,0.00724,0.00337,0.00143
1788405888.5986097,-0.02023,0.00291,-0.99677,0.00602,0.00397,0.0057
1788405888.7603414,-0.01817,0.0032,-0.9971,0.00557,0.00294,0.00565
1788405888.7644432,-0.01929,0.00308,-0.99771,0.00372,0.00237,0.0045
1788405889.00693,-0.0201,0.00298,-0.99719,0.00619,0.00623,0.00469
1788405889.007872,-0.02094,0.00226,-0.99721,0.00525,0.00709,0.00396
1788405889.2025325,-0.018,0.00247,-0.99826,0.00613,0.00472,0.00514
1788405889.2186284,-0.02083,0.00173,-0.99715,0.0095,0.00541,0.00297
1788405889.2898948,-0.018,0.00416,-0.99773,0.00776,0.00582,0.00297
1788405889.3796964,-0.01986,0.00549,-0.99825,0.00644,0.00562,-0.00024
1788405889.5737708,-0.01984,0.00113,-0.99804,0.00503,0.00083,0.00827
1788405889.5897317,-0.02135,0.00223,-0.99886,0.00794,0.00492,0.00386
