unix_timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1783485162.00008,0.0,0.0,0.0,0.0,0.0,0.0
1783485162.100083,0.00297,0.01174,-0.9935,0.00609,0.01692,-0.0013
1783485162.2187302,-0.11952,0.03166,-0.99342,0.00324,0.00457,-0.04377
1783485162.3197134,0.11028,0.02483,-0.99799,0.0021,0.00929,0.01082
1783485162.4197764,-0.0874,0.02856,-0.99359,0.01115,-0.00566,0.05219
1783485162.519053,0.02313,0.02354,-0.9926,0.01279,0.00893,-0.00525
1783485162.6190646,0.02145,0.00171,-0.99523,-0.00657,-0.00181,0.01507
1783485162.7191875,-0.09463,0.00765,-0.99324,0.00134,0.00022,0.00287
1783485162.8194587,0.13219,0.02607,-1.00633,0.01147,0.00185,-0.00767
1783485162.9202898,-0.14497,0.01344,-0.99558,-0.01645,0.00079,0.01357
1783485163.0196714,0.04785,-0.00378,-0.99018,0.0116,0.02055,0.02379
1783485163.1397686,0.02095,0.01322,-0.99122,0.01853,0.01277,-0.02656
1783485163.2398324,-0.12146,-0.00664,-0.9949,0.00836,0.00603,0.01705
1783485163.3416827,0.12854,0.03732,-1.00076,0.01063,-0.01065,-0.0112
1783485163.4596221,-0.10735,0.04138,-0.98828,0.00681,-0.00992,-0.02283
1783485163.5594456,0.01912,0.02093,-0.99585,0.00051,0.02038,0.01502
1783485163.661174,0.02519,0.0088,-1.00087,-0.00216,0.00063,0.0019
1783485163.7609363,-0.10664,0.02664,-0.9958,0.00181,-0.00112,0.00844
1783485163.861187,0.10288,0.01607,-0.9884,0.02447,0.0169,0.01813
1783485163.960053,-0.06862,0.02637,-0.99441,-0.00441,0.00211,-0.02995
1783485164.0612342,-0.03569,0.013,-0.98632,0.01816,0.01849,0.01727
1783485164.160472,0.0957,0.0339,-1.00004,0.00515,-0.00089,-0.01045
1783485164.2609258,-0.17491,0.02919,-0.98298,0.007,0.00403,0.00103
1783485164.382097,0.13932,0.01513,-0.99323,0.021,0.02759,0.02024
1783485164.4817858,-0.08577,0.00289,-1.00077,-0.02143,-0.01186,0.02935
1783485164.5816653,-0.03884,0.00596,-0.99621,0.00899,0.01593,0.00908
1783485164.6828575,0.07447,0.00774,-0.98495,0.01539,-0.01032,-0.00019
1783485164.780442,-0.25473,-0.0061,-1.01809,0.03261,-0.01928,-0.04141
1783485164.882264,0.08943,-0.01002,-0.98964,0.01665,0.02114,0.04265
1783485164.9814723,-0.04899,-0.03652,-0.99695,0.00967,-0.00192,-0.00955
1783485165.0822349,-0.01965,-0.00033,-0.99526,0.00485,0.00205,0.02116
1783485165.1817937,0.03936,-0.00582,-0.99421,0.00847,-0.00779,0.02151
1783485165.2810342,-0.06853,0.01933,-0.99778,0.00754,0.00217,0.01766
1783485165.4017696,0.03351,0.00607,-0.99572,-0.00059,0.00089,-0.0066
1783485165.5003116,-0.01474,0.01434,-0.99399,0.00828,-0.00403,-0.00323
1783485165.6008267,-0.04888,0.01657,-0.99307,0.00236,-0.00273,0.018
1783485165.701822,0.06286,0.00158,-0.99557,-8e-05,-0.00394,0.00266
1783485165.8008635,-0.0828,0.00245,-0.99277,-0.0001,0.00476,0.03117
1783485165.9001899,0.01042,0.02114,-0.99636,0.00387,0.00143,-0.01845
1783485166.001766,0.01042,0.02114,-0.99636,0.00387,0.00143,-0.01845
1783485166.100964,0.07915,-0.00122,-0.99438,0.00721,0.00399,0.00162
1783485166.202115,0.07915,-0.00122,-0.99438,0.00721,0.00399,0.00162
1783485166.3009543,0.05612,0.04078,-0.99643,-0.01165,0.02919,-0.03644
1783485166.4005992,-0.01933,7e-05,-0.99396,0.00629,0.00579,0.02185
1783485166.5018275,-0.06121,0.01364,-1.00047,0.00901,0.00919,0.01871
1783485166.6227276,0.06895,0.03058,-0.99361,0.01497,0.00352,0.00076
1783485166.7228134,-0.08702,0.00878,-0.99495,0.0131,0.00327,-0.00475
1783485166.8217745,0.02174,0.00642,-1.00405,-0.00517,0.01236,-0.03657
1783485166.9214437,0.0134,-0.00072,-0.99792,0.01193,-0.00139,0.00931
1783485167.0236735,-0.08348,0.00577,-0.99544,0.00713,-0.00101,0.0223
1783485167.1228487,0.09183,0.0018,-0.99382,0.00457,0.0077,0.0063
1783485167.2209227,-0.11266,0.01099,-0.9937,0.00187,0.0012,-0.00422
1783485167.322584,0.04322,0.00535,-0.99102,-0.0003,0.01462,0.01223
1783485167.4224205,0.00911,0.0112,-0.99525,0.00818,-0.00343,0.0055
1783485167.5413258,-0.09011,0.01063,-0.9865,0.03047,0.0125,0.01673
1783485167.6407309,0.09603,-0.00278,-0.99949,-0.00249,0.01314,0.01576
1783485167.7420576,-0.1105,0.01453,-0.997,0.00275,0.00861,-0.00795
1783485167.841382,0.02146,0.00276,-0.99098,0.01017,-0.01036,0.01896
1783485167.9418938,0.02049,0.01786,-0.99696,0.00653,0.00177,-0.01078
1783485168.0424166,-0.10675,0.01079,-1.00025,0.00497,0.00468,-0.00777
1783485168.1425323,0.11612,0.0292,-1.00052,0.00864,0.00715,0.00655
1783485168.2418275,0.01282,0.00508,-0.99608,0.00666,0.00131,0.00895
1783485168.3415582,0.007,0.00506,-0.9951,0.01001,0.00094,0.0116
1783485168.4419823,0.00033,0.00753,-0.99565,0.00601,0.00444,0.00883
1783485168.5409849,-0.00425,0.01156,-0.99508,0.00343,0.00275,0.00432
1783485168.642896,-0.00901,0.01317,-0.99697,0.00655,0.00733,0.00079
